Timestamp,Year Won,Category Won,Who Won?,What Show Was It? (Might Be Same as Last)
11/15/2021 15:49:50,1949,Best Performance by an Actress in a Leading Role in a Play,Martita Hunt,The Madwoman of Chaillot
11/15/2021 15:50:17,1949,Best Performance by an Actor in a Featured Role in a Play,Arthur Kennedy,Death of a Salesman
11/15/2021 15:50:45,1949,Best Performance by an Actress in a Featured Role in a Play,Shirley Booth,"Goodbye, My Fancy"
11/15/2021 15:51:18,1949,Best Book of a Musical,Bella Spewack,Kiss Me Kate
11/15/2021 15:51:18,1949,Best Book of a Musical,Samuel Spewack,Kiss Me Kate
11/15/2021 15:52:26,1949,Conductor And Musical Director,Max Meth,As the Girls Go
11/15/2021 15:53:00,1949,Best Choreography,Gower Champion,Lend An Ear
11/15/2021 15:53:31,1949,Best Costume Design of a Musical,Lemuel Ayers,Kiss Me Kate
11/15/2021 15:53:55,1949,Best Direction of a Play,Elia Kazan,Death of a Salesman
11/15/2021 15:54:16,1949,Best Musical,Kiss Me Kate,Kiss Me Kate
11/15/2021 15:54:36,1949,Best Original Score,Cole Porter,Kiss Me Kate
11/15/2021 15:55:06,1949,Best Play,Death of a Salesman,Death of a Salesman
11/15/2021 15:56:15,1949,Best Producer of a Musical,Lemuel Ayers,Kiss Me Kate
11/15/2021 15:56:42,1949,Best Producer of a Play,Kermit Bloomgarden,Death of a Salesman
11/15/2021 15:57:19,1949,Best Scenic Design of a Play,Jo Mielziner,Death of a Salesman
11/15/2021 15:59:40,1950,Best Performance by an Actor in a Leading Role in a Musical,Ezio Pinza,South Pacific
11/15/2021 16:00:04,1950,Best Performance by an Actor in a Leading Role in a Play,Sidney Blackmer,"Come Back, Little Sheba"
11/15/2021 16:00:27,1950,Best Performance by an Actress in a Leading Role in a Musical,Mary Martin,South Pacific
11/15/2021 16:00:53,1950,Best Performance by an Actress in a Leading Role in a Play,Shirley Booth,"Come Back, Little Sheba"
11/15/2021 16:01:50,1950,Best Performance by an Actor in a Featured Role in a Musical,Myron McCormick,South Pacific
11/15/2021 16:02:09,1950,Best Performance by an Actress in a Featured Role in a Musical,Juanita Hall,South Pacific
11/15/2021 16:02:38,1950,Best Book of a Musical,Oscar Hammerstein II,South Pacific
11/15/2021 16:02:38,1950,Best Book of a Musical,Joshua Logan,South Pacific
11/15/2021 16:05:28,1950,Best Choreography,Helen Tamiris,Touch and Go
11/15/2021 16:06:16,1950,Conductor And Musical Director,Maurice Abravanel,Regina
11/15/2021 16:07:39,1950,Best Costume Design of a Play,Alice Bernstein,Regina
11/15/2021 16:08:05,1950,Best Direction of a Musical,Joshua Logan,South Pacific
11/15/2021 16:08:20,1950,Best Musical,South Pacific,South Pacific
11/15/2021 16:08:45,1950,Best Original Score,Richard Rodgers,South Pacific
11/15/2021 16:09:22,1950,Best Play,The Cocktail Party,The Cocktail Party
11/15/2021 16:10:01,1950,Best Producer of a Musical,Leland Hayward,South Pacific
11/15/2021 16:10:01,1950,Best Producer of a Musical,Oscar Hammerstein II,South Pacific
11/15/2021 16:10:01,1950,Best Producer of a Musical,Joshua Logan,South Pacific
11/15/2021 16:10:01,1950,Best Producer of a Musical,Richard Rodgers,South Pacific
11/15/2021 16:10:23,1950,Best Producer of a Play,Gilbert Miller,The Cocktail Party
11/15/2021 16:11:06,1950,Best Scenic Design of a Play,Jo Mielziner,The Innocents
11/15/2021 16:12:19,1951,Best Performance by an Actor in a Leading Role in a Musical,Robert Alda,Guys and Dolls
11/15/2021 16:12:42,1951,Best Performance by an Actor in a Leading Role in a Play,Claude Rains,Darkness At Noon
11/15/2021 16:13:16,1951,Best Performance by an Actress in a Leading Role in a Musical,Ethel Merman,Call Me Madam
11/15/2021 17:47:32,1951,Best Performance by an Actress in a Leading Role in a Play,Uta Hagen,The Country Girl
11/15/2021 17:48:54,1951,Best Performance by an Actor in a Featured Role in a Musical,Russell Nype,Call Me Madam
11/15/2021 17:50:47,1951,Best Performance by an Actor in a Featured Role in a Play,Eli Wallach,The Rose Tattoo
11/15/2021 17:51:18,1951,Best Performance by an Actress in a Featured Role in a Musical,Isabel Bigley,Guys and Dolls
11/15/2021 17:51:48,1951,Best Performance by an Actress in a Featured Role in a Play,Maureen Stapleton,The Rose Tattoo
11/15/2021 17:52:25,1951,Best Choreography,Michael Kidd,Guys and Dolls
11/15/2021 17:52:47,1951,Conductor And Musical Director,Lehman Engel,The Consul
11/15/2021 17:53:26,1951,Best Costume Design of a Musical,Miles White,Bless You All
11/15/2021 17:54:51,1951,Best Direction of a Musical,George S. Kaufman,Guys and Dolls
11/15/2021 17:55:09,1951,Best Musical,Guys and Dolls,Guys and Dolls
11/15/2021 17:55:38,1951,Best Original Score,Irving Berlin,Call Me Madam
11/15/2021 17:56:10,1951,Best Play,The Rose Tattoo,The Rose Tattoo
11/15/2021 17:56:39,1951,Best Producer of a Play,Cheryl Crawford,The Rose Tattoo
11/15/2021 17:58:47,1951,Best Scenic Design of a Play,Boris Aronson,Multiple
11/15/2021 18:02:30,1952,Best Performance by an Actor in a Leading Role in a Musical,Phil Silvers,Top Banana
11/15/2021 18:03:02,1952,Best Performance by an Actor in a Leading Role in a Play,Jose Ferrer,The Shrike
11/15/2021 18:03:53,1952,Best Performance by an Actress in a Leading Role in a Musical,Gertrude Lawrence,The King and I
11/15/2021 18:04:22,1952,Best Performance by an Actress in a Leading Role in a Play,Julie Harris,I Am a Camera
11/15/2021 18:05:11,1952,Best Performance by an Actor in a Featured Role in a Musical,Yul Brynner,The King and I
11/15/2021 18:06:29,1952,Best Performance by an Actor in a Featured Role in a Play,John Cromwell,Point of No Return
11/15/2021 18:06:55,1952,Best Performance by an Actress in a Featured Role in a Musical,Helen Gallagher,Pal Joey
11/15/2021 18:07:20,1952,Best Performance by an Actress in a Featured Role in a Play,Marian Winters,I Am a Camera
11/15/2021 18:08:46,1952,Best Choreography,Robert Alton,Pal Joey
11/15/2021 18:09:23,1952,Conductor And Musical Director,Max Meth,Pal Joey
11/15/2021 18:09:46,1952,Best Costume Design of a Musical,Irene Sharaff,The King and I
11/15/2021 18:10:10,1952,Best Direction of a Play,Jose Ferrer,Multiple
11/15/2021 18:10:34,1952,Best Musical,The King and I,The King and I
11/15/2021 18:10:53,1952,Best Play,The Fourposter,The Fourposter
11/15/2021 18:11:22,1952,Best Scenic Design of a Musical,Jo Mielziner,The King and I
11/15/2021 18:13:03,1953,Best Performance by an Actor in a Leading Role in a Musical,Thomas Mitchell,Hazel Flagg
11/15/2021 18:13:25,1953,Best Performance by an Actor in a Leading Role in a Play,Tom Ewell,The Seven Year Itch
11/15/2021 18:13:51,1953,Best Performance by an Actress in a Leading Role in a Play,Shirley Booth,Time of the Cuckoo
11/15/2021 18:14:59,1953,Best Performance by an Actress in a Leading Role in a Musical,Rosalind Russell,Wonderful Town
11/15/2021 18:15:43,1953,Best Performance by an Actor in a Featured Role in a Musical,Hiram Sherman,Two's Company
11/15/2021 18:16:49,1953,Best Performance by an Actor in a Featured Role in a Play,John Williams,Dial M for Murder
11/15/2021 18:17:26,1953,Best Performance by an Actress in a Featured Role in a Musical,Sheila Bond,Wish You Were Here
11/15/2021 18:17:50,1953,Best Performance by an Actress in a Featured Role in a Play,Beatrice Straight,The Crucible
11/15/2021 18:18:08,1953,Best Choreography,Donald Saddler,Wonderful Town
11/15/2021 18:18:45,1953,Conductor And Musical Director,Lehman Engel,Wonderful Town
11/15/2021 18:19:07,1953,Best Costume Design of a Musical,Miles White,Hazel Flagg
11/15/2021 18:19:43,1953,Best Direction of a Play,Joshua Logan,Picnic
11/15/2021 18:20:30,1953,Best Musical,Wonderful Town,Wonderful Town
11/15/2021 18:20:49,1953,Best Play,The Crucible,The Crucible
11/15/2021 18:21:14,1953,Best Producer of a Musical,Robert Fryer,Wonderful Town
11/15/2021 18:21:34,1953,Best Producer of a Play,Kermit Bloomgarden,The Crucible
11/15/2021 18:30:52,1953,Best Scenic Design of a Musical,Raoul Pene Du Bois,Wonderful Town
11/15/2021 18:33:10,1954,Best Performance by an Actor in a Leading Role in a Musical,Alfred Drake,Kismet
11/15/2021 18:33:32,1954,Best Performance by an Actor in a Leading Role in a Play,David Wayne,The Teahouse of the August Moon
11/15/2021 18:34:26,1954,Best Performance by an Actress in a Leading Role in a Musical,Dolores Gray,Carnival in Flanders
11/15/2021 18:34:45,1954,Best Performance by an Actress in a Leading Role in a Play,Audrey Hepburn,Ondine
11/15/2021 18:35:29,1954,Best Performance by an Actor in a Featured Role in a Musical,Harry Belafonte,John Murray Anderson's Almanac
11/15/2021 18:35:58,1954,Best Performance by an Actor in a Featured Role in a Play,John Kerr,Tea and Sympathy
11/15/2021 18:38:59,1954,Best Performance by an Actress in a Featured Role in a Musical,Gwen Verdon,Can-Can
11/15/2021 18:39:19,1954,Best Performance by an Actress in a Featured Role in a Play,Jo Van Fleet,The Trip to Bountiful
11/15/2021 18:40:47,1954,Best Choreography,Michael Kidd,Can-Can
11/15/2021 18:41:07,1954,Conductor And Musical Director,Louis Adrian,Kismet
11/15/2021 18:41:40,1954,Best Costume Design of a Play,Richard Whorf,Ondine
11/15/2021 18:41:57,1954,Best Direction of a Play,Alfred Lunt,Ondine
11/15/2021 18:42:09,1954,Best Musical,Kismet,Kismet
11/15/2021 18:42:40,1954,Best Play,The Teahouse of the August Moon,The Teahouse of the August Moon
11/15/2021 18:43:11,1954,Best Producer of a Musical,Charles Lederer,Kismet
11/15/2021 18:43:47,1954,Best Producer of a Play,Maurice Evans,The Teahouse of the August Moon
11/15/2021 18:43:47,1954,Best Producer of a Play,George Schaefer,The Teahouse of the August Moon
11/15/2021 18:46:30,1954,Best Scenic Design of a Play,Peter Larkin,Ondine
11/15/2021 18:47:40,1955,Best Performance by an Actor in a Leading Role in a Musical,Walter Slezak,Fanny
11/15/2021 18:50:05,1955,Best Performance by an Actor in a Leading Role in a Play,Alfred Lunt,Quadrille
11/15/2021 18:50:32,1955,Best Performance by an Actress in a Leading Role in a Musical,Mary Martin,Peter Pan
11/15/2021 18:51:09,1955,Best Performance by an Actress in a Leading Role in a Play,Nancy Kelly,The Bad Seed
11/15/2021 18:51:31,1955,Best Performance by an Actor in a Featured Role in a Musical,Cyril Ritchard,Peter Pan
11/15/2021 18:52:07,1955,Best Performance by an Actor in a Featured Role in a Play,Francis L. Sullivan,Witness for the Prosecution
11/15/2021 18:52:44,1955,Best Performance by an Actress in a Featured Role in a Musical,Carol Haney,The Pajama Game
11/15/2021 18:53:12,1955,Best Performance by an Actress in a Featured Role in a Play,Patricia Jessel,Witness for the Prosecution
11/15/2021 18:53:32,1955,Best Choreography,Bob Fosse,The Pajama Game
11/15/2021 18:54:18,1955,Conductor And Musical Director,Thomas Schippers,The Saint of Bleecker Street
11/15/2021 18:54:43,1955,Best Costume Design of a Play,Cecil Beaton,Quadrille
11/15/2021 18:55:36,1955,Best Direction of a Play,Robert Montgomery,The Desperate Hours
11/15/2021 18:55:58,1955,Best Musical,The Pajama Game,The Pajama Game
11/15/2021 18:59:44,1955,Best Play,The Desperate Hours,The Desperate Hours
11/15/2021 19:00:38,1955,Best Producer of a Musical,Frederick Brisson,The Pajama Game
11/15/2021 19:00:38,1955,Best Producer of a Musical,Robert Griffith,The Pajama Game
11/15/2021 19:00:38,1955,Best Producer of a Musical,Harold Prince,The Pajama Game
11/15/2021 19:01:09,1955,Best Producer of a Play,Howard Erskine,The Desperate Hours
11/15/2021 19:01:09,1955,Best Producer of a Play,Joseph Hayes,The Desperate Hours
11/15/2021 19:04:33,1955,Best Scenic Design of a Musical,Oliver Messell,House of Flowers
11/15/2021 19:05:22,1956,Best Performance by an Actor in a Leading Role in a Musical,Ray Walston,Damn Yankees
11/15/2021 19:05:46,1956,Best Performance by an Actor in a Leading Role in a Play,Paul Muni,Inherit the Wind
11/15/2021 19:06:08,1956,Best Performance by an Actress in a Leading Role in a Musical,Gwen Verdon,Damn Yankees
11/15/2021 19:06:27,1956,Best Performance by an Actress in a Leading Role in a Play,Julie Harris,The Lark
11/15/2021 19:06:53,1956,Best Performance by an Actor in a Featured Role in a Musical,Russ Brown,Damn Yankees
11/15/2021 19:07:12,1956,Best Performance by an Actor in a Featured Role in a Play,Ed Begley,Inherit the Wind
11/15/2021 19:08:13,1956,Best Performance by an Actress in a Featured Role in a Musical,Lotte Lenya,The Threepenny Opera
11/15/2021 19:09:36,1956,Best Performance by an Actress in a Featured Role in a Play,Una Merkel,The Ponder Heart
11/15/2021 19:10:35,1956,Best Choreography,Bob Fosse,Damn Yankees
11/15/2021 19:10:56,1956,Conductor And Musical Director,Hal Hastings,Damn Yankees
11/15/2021 19:12:34,1956,Best Costume Design of a Musical,Alvin Colt,Pipe Dream
11/15/2021 19:13:57,1956,Best Direction of a Play,Tyrone Guthrie,The Matchmaker
11/15/2021 19:14:42,1956,Best Musical,Damn Yankees,Damn Yankees
11/15/2021 19:15:04,1956,Best Play,The Diary of Anne Frank,The Diary of Anne Frank
11/15/2021 19:16:43,1956,Best Producer of a Musical,Frederick Brisson,Damn Yankees
11/15/2021 19:16:43,1956,Best Producer of a Musical,Robert Griffith,Damn Yankees
11/15/2021 19:16:43,1956,Best Producer of a Musical,Harold Prince,Damn Yankees
11/15/2021 19:18:25,1956,Best Producer of a Play,Kermit Bloomgarden,The Diary of Anne Frank
11/15/2021 19:19:18,1956,Best Scenic Design of a Play,Peter Larkin,Inherit the Wind
11/17/2021 1:19:59,1957,Best Performance by an Actor in a Leading Role in a Musical,Rex Harrison,My Fair Lady
11/17/2021 1:20:38,1957,Best Performance by an Actor in a Leading Role in a Play,Frederic March,Long Day's Journey Into Night
11/17/2021 1:21:16,1957,Best Performance by an Actress in a Leading Role in a Musical,Judy Holliday,Bells Are Ringing
11/17/2021 1:21:51,1957,Best Performance by an Actress in a Leading Role in a Play,Margaret Leighton,Separate Tables
11/17/2021 1:22:16,1957,Best Performance by an Actor in a Featured Role in a Musical,Sydney Chaplin,Bells Are Ringing
11/17/2021 1:22:54,1957,Best Performance by an Actor in a Featured Role in a Play,Frank Conroy,The Potting Shed
11/17/2021 1:23:16,1957,Best Performance by an Actress in a Featured Role in a Musical,Edith Adams,Li'l Abner
11/17/2021 1:37:03,1957,Best Performance by an Actress in a Featured Role in a Play,Peggy Cass,Auntie Mame
11/17/2021 1:37:37,1957,Best Choreography,Michael Kidd,Li'l Abner
11/17/2021 1:37:56,1957,Conductor And Musical Director,Franz Allers,My Fair Lady
11/17/2021 1:38:29,1957,Best Costume Design of a Musical,Cecil Beaton,My Fair Lady
11/17/2021 1:38:49,1957,Best Direction of a Musical,Moss Hart,My Fair Lady
11/17/2021 1:39:06,1957,Best Musical,My Fair Lady,My Fair Lady
11/17/2021 1:39:34,1957,Best Play,Long Day's Journey,Long Day's Journey
11/17/2021 1:39:52,1957,Best Producer of a Musical,Herman Levin,My Fair Lady
11/17/2021 1:40:41,1957,Best Producer of a Play,Leigh Connell,Long Day's Journey Into Night
11/17/2021 1:40:41,1957,Best Producer of a Play,Theodore Mann,Long Day's Journey Into Night
11/17/2021 1:40:41,1957,Best Producer of a Play,Jose Quintero,Long Day's Journey Into Night
11/17/2021 1:40:58,1957,Best Scenic Design of a Musical,Oliver Smith,My Fair Lady
11/17/2021 1:41:21,1958,Best Performance by an Actor in a Leading Role in a Musical,Robert Preston,The Music Man
11/17/2021 1:41:43,1958,Best Performance by an Actor in a Leading Role in a Play,Ralph Bellamy,Sunrise At Campobello
11/17/2021 1:42:33,1958,Best Performance by an Actress in a Leading Role in a Musical,Thelma Ritter,New Girl In Town
11/17/2021 1:42:55,1958,Best Performance by an Actress in a Leading Role in a Musical,Gwen Verdon,New Girl In Town
11/17/2021 1:43:17,1958,Best Performance by an Actress in a Leading Role in a Play,Helen Hayes,Time Remembered
11/17/2021 1:43:39,1958,Best Performance by an Actor in a Featured Role in a Musical,David Burns,The Music Man
11/17/2021 1:44:02,1958,Best Performance by an Actor in a Featured Role in a Play,Henry Jones,Sunrise At Campobello
11/17/2021 1:44:25,1958,Best Performance by an Actress in a Featured Role in a Musical,Barbara Cook,The Music Man
11/17/2021 1:44:54,1958,Best Performance by an Actress in a Featured Role in a Play,Anne Bancroft,Two For The Seesaw
11/17/2021 1:45:23,1958,Best Choreography,Jerome Robbins,West Side Story
11/17/2021 1:45:41,1958,Conductor And Musical Director,Herbert Greene,The Music Man
11/17/2021 1:46:26,1958,Best Costume Design of a Play,Motley,The First Gentleman
11/17/2021 1:46:55,1958,Best Direction of a Play,Vincent J. Donehue,Sunrise At Campobello
11/17/2021 1:47:08,1958,Best Musical,The Music Man,The Music Man
11/17/2021 1:47:32,1958,Best Play,Sunrise At Campobello,Sunrise At Campobello
11/17/2021 1:48:35,1958,Best Producer of a Musical,Kermit Bloomgarden,The Music Man
11/17/2021 1:48:35,1958,Best Producer of a Musical,Herbert Greene,The Music Man
11/17/2021 1:48:35,1958,Best Producer of a Musical,Frank Productions,The Music Man
11/17/2021 1:49:10,1958,Best Producer of a Play,Lawrence Langer,Sunrise At Campobello
11/17/2021 1:49:10,1958,Best Producer of a Play,Theresa Helburn,Sunrise At Campobello
11/17/2021 1:49:10,1958,Best Producer of a Play,Armina Marshall,Sunrise At Campobello
11/17/2021 1:49:10,1958,Best Producer of a Play,Dore Schary,Sunrise At Campobello
11/17/2021 1:49:29,1958,Best Scenic Design of a Musical,Oliver Smith,West Side Story
11/17/2021 1:50:08,1959,Best Performance by an Actor in a Leading Role in a Musical,Richard Kiley,Redhead
11/17/2021 1:50:28,1959,Best Performance by an Actor in a Leading Role in a Play,Jason Robards Jr.,The Disenchanted
11/17/2021 1:50:49,1959,Best Performance by an Actress in a Leading Role in a Musical,Gwen Verdon,Redhead
11/17/2021 1:51:12,1959,Best Performance by an Actress in a Leading Role in a Play,Gertrude Berg,A Majority of One
11/17/2021 1:55:43,1959,Best Performance by an Actor in a Featured Role in a Musical,Russell Nype,Goldilocks
11/17/2021 1:55:57,1959,Best Performance by an Actor in a Featured Role in a Musical,Leonard Stone,Redhead
11/17/2021 1:56:22,1959,Best Performance by an Actor in a Featured Role in a Play,Charlie Ruggles,The Pleasure of His Company
11/17/2021 1:56:39,1959,Best Performance by an Actress in a Featured Role in a Musical,Pat Stanley,Goldilocks
11/17/2021 1:57:00,1959,Best Performance by an Actress in a Featured Role in a Play,Julie Newmar,The Marriage-Go-Round
11/17/2021 1:57:18,1959,Best Choreography,Bob Fosse,Redhead
11/17/2021 1:58:34,1959,Conductor And Musical Director,Salvatore Dell'isola,Flower Drum Song
11/17/2021 1:58:57,1959,Best Costume Design of a Musical,Rouben Ter-Arutunian,Redhead
11/17/2021 1:59:25,1959,Best Direction of a Play,Elia Kazan,J.B.
11/17/2021 1:59:43,1959,Best Musical,Redhead,Redhead
11/17/2021 2:00:02,1959,Best Play,J.B.,J.B.
11/17/2021 2:00:33,1959,Best Producer of a Musical,Robert Fryer,Redhead
11/17/2021 2:00:33,1959,Best Producer of a Musical,Lawrence Carr,Redhead
11/17/2021 2:00:52,1959,Best Producer of a Play,Alfred de Liagre Jr.,J.B.
11/17/2021 2:01:25,1959,Best Scenic Design of a Play,Donald Oenslager,A Majority of One
11/17/2021 2:02:10,1960,Best Performance by an Actor in a Leading Role in a Musical,Jackie Gleason,Take Me Along
11/17/2021 2:03:21,1960,Best Performance by an Actress in a Leading Role in a Play,Mary Martin,The Sound of Music
11/17/2021 2:02:30,1960,Best Performance by an Actor in a Leading Role in a Play,Melvyn Douglas,The Best Man
11/17/2021 2:03:39,1960,Best Performance by an Actress in a Leading Role in a Play,Anne Bancroft,The Miracle Worker
11/17/2021 2:05:11,1960,Best Performance by an Actor in a Featured Role in a Musical,Tom Bosley,Fiorello!
11/17/2021 2:05:35,1960,Best Performance by an Actor in a Featured Role in a Play,Roddy McDowell,The Fighting Cock
11/17/2021 2:06:01,1960,Best Performance by an Actress in a Featured Role in a Musical,Patricia Neway,The Sound of Music
11/17/2021 2:06:49,1960,Best Performance by an Actress in a Featured Role in a Play,Anne Revere,Toys in the Attic
11/17/2021 2:07:07,1960,Best Choreography,Michael Kidd,Destry Rides Again
11/17/2021 2:07:27,1960,Conductor And Musical Director,Frederick Dvonch,The Sound of Music
11/17/2021 2:08:17,1960,Best Costume Design of a Musical,Cecil Beaton,Saratoga
11/17/2021 2:08:37,1960,Best Direction of a Musical,George Abbott,Fiorello!
11/17/2021 2:08:53,1960,Best Direction of a Play,Arthur Penn,The Miracle Worker
11/17/2021 2:09:21,1960,Best Musical,The Sound of Music,The Sound of Music
11/17/2021 2:09:52,1960,Best Musical,Fiorello!,Fiorello!
11/17/2021 2:10:19,1960,Best Play,The Miracle Worker,The Miracle Worker
11/17/2021 2:10:50,1960,Best Producer of a Musical,Robert E. Griffith,Fiorello!
11/17/2021 2:10:50,1960,Best Producer of a Musical,Harold Prince,Fiorello!
11/17/2021 2:11:20,1960,Best Producer of a Musical,Leland Hayward/Richard Halliday/Rodgers and Hammerstein,The Sound of Music
11/17/2021 2:11:51,1960,Best Producer of a Play,Fred Coe,The Miracle Worker
11/17/2021 2:13:53,1960,Best Scenic Design of a Musical,Oliver Smith,The Sound of Music
11/17/2021 2:14:17,1960,Best Scenic Design of a Play,Howard Bay,Toys in the Attic
11/17/2021 16:07:59,1961,Best Performance by an Actor in a Leading Role in a Musical,Richard Burton,Camelot
11/17/2021 16:08:18,1961,Best Performance by an Actor in a Leading Role in a Play,Zero Mostel,Rhinoceros
11/17/2021 16:08:45,1961,Best Performance by an Actress in a Leading Role in a Musical,Elizabeth Seal,Irma La Douce
11/17/2021 16:09:09,1961,Best Performance by an Actress in a Leading Role in a Play,Joan Plowright,A Taste of Honey
11/17/2021 16:09:30,1961,Best Performance by an Actor in a Featured Role in a Musical,Dick Van Dyke,Bye Bye Birdie
11/17/2021 16:09:52,1961,Best Performance by an Actor in a Featured Role in a Play,Martin Gable,"Big Fish, Little Fish"
11/17/2021 16:10:41,1961,Best Performance by an Actress in a Featured Role in a Musical,Tammy Grimes,The Unsinkable Molly Brown
11/17/2021 16:10:59,1961,Best Performance by an Actress in a Featured Role in a Play,Colleen Dewhurst,All the Way Home
11/17/2021 16:11:16,1961,Best Choreography,Gower Champion,Bye Bye Birdie
11/17/2021 16:11:30,1961,Conductor And Musical Director,Franz Allers,Camelot
11/17/2021 16:12:33,1961,Best Costume Design of a Musical,Adrain,Camelot
11/17/2021 16:12:33,1961,Best Costume Design of a Musical,Tony Duquette,Camelot
11/17/2021 16:12:58,1961,Best Costume Design of a Play,Motley,Becket
11/17/2021 16:13:41,1961,Best Direction of a Musical,Gower Champion,Bye Bye Birdie
11/17/2021 16:14:08,1961,Best Direction of a Play,Sir John Gielgud ,"Big Fish, Little Fish"
11/17/2021 16:14:25,1961,Best Musical,Bye Bye Birdie,Bye Bye Birdie
11/17/2021 16:14:37,1961,Best Play,Becket,Becket
11/17/2021 16:14:58,1961,Best Producer of a Musical,Edward Padula,Bye Bye Birdie
11/17/2021 16:15:09,1961,Best Producer of a Play,David Merrick,Becket
11/17/2021 16:15:25,1961,Best Scenic Design of a Play,Oliver Smith,Becket
11/17/2021 16:16:37,1961,Best Scenic Design of a Musical,Oliver Smith,Camelot
11/18/2021 5:34:16,1962,Best Performance by an Actor in a Leading Role in a Musical,Robert Morse,How to Succeed in Business Without Really Trying
11/18/2021 5:34:52,1962,Best Performance by an Actor in a Leading Role in a Play,Paul Scofield,A Man for All Seasons
11/18/2021 5:35:24,1962,Best Performance by an Actress in a Leading Role in a Musical,Anne Maria Alberghetti,Carnival
11/18/2021 5:36:01,1962,Best Performance by an Actress in a Leading Role in a Musical,Diahann Carroll,No Strings
11/18/2021 5:36:37,1962,Best Performance by an Actress in a Leading Role in a Play,Margaret Leighton,The Night of the Iguana
11/18/2021 5:37:08,1962,Best Performance by an Actor in a Featured Role in a Musical,Charles Nelson Reilly,How to Succeed in Business Without Really Trying
11/18/2021 5:37:35,1962,Best Performance by an Actor in a Featured Role in a Play,Walter Matthau,A Shot in the Dark
11/18/2021 5:38:04,1962,Best Performance by an Actress in a Featured Role in a Musical,Phyllis Newman,Subways Are for Sleeping
11/18/2021 5:38:29,1962,Best Performance by an Actress in a Featured Role in a Play,Elizabeth Ashley,"Take Her, She's Mine"
11/18/2021 5:40:29,1962,Best Book of a Musical,Abe Burrows,How to Succeed in Business Without Really Trying
11/18/2021 5:40:29,1962,Best Book of a Musical,Jack Weinstock,How to Succeed in Business Without Really Trying
11/18/2021 5:40:29,1962,Best Book of a Musical,Willie Gilbert,How to Succeed in Business Without Really Trying
